id,chain_id,address,category,name,source
9f1b6c40-0001-4a00-8000-000000000001,1,0x7f367cc41522ce07553e823bf3be79a889debe1b,SANCTION,Lazarus Group,OFAC SDN
9f1b6c40-0001-4a00-8000-000000000002,1,0x098b716b8aaf21512996dc57eb0615e2383e2f96,SANCTION,Lazarus Group,OFAC SDN
9f1b6c40-0001-4a00-8000-000000000003,1,0x8576acc5c05d6ce88f4e49bf65bdf0c62f91353c,SANCTION,Lazarus Group,OFAC SDN
9f1b6c40-0001-4a00-8000-000000000004,1,0x3cffd56b47b7b41c56258d9c7731abadc360e073,SANCTION,Blender.io,OFAC SDN
9f1b6c40-0002-4a00-8000-000000000001,1,0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,MIXER,Tornado Cash 0.1 ETH,curated
9f1b6c40-0002-4a00-8000-000000000002,1,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,MIXER,Tornado Cash 1 ETH,curated
9f1b6c40-0002-4a00-8000-000000000003,1,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,MIXER,Tornado Cash 10 ETH,curated
9f1b6c40-0002-4a00-8000-000000000004,1,0xa160cdab225685da1d56aa342ad8841c3b53f291,MIXER,Tornado Cash 100 ETH,curated
9f1b6c40-0002-4a00-8000-000000000005,1,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,MIXER,Tornado Cash Router,curated
9f1b6c40-0003-4a00-8000-000000000001,1,0x28c6c06298d514db089934071355e5743bf21d60,EXCHANGE,Binance 14,curated
9f1b6c40-0003-4a00-8000-000000000002,1,0x21a31ee1afc51d94c2efccaa2092ad1028285549,EXCHANGE,Binance 15,curated
9f1b6c40-0003-4a00-8000-000000000003,1,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,EXCHANGE,Binance 16,curated
9f1b6c40-0003-4a00-8000-000000000004,1,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,EXCHANGE,Coinbase 1,curated
9f1b6c40-0003-4a00-8000-000000000005,1,0x503828976d22510aad0201ac7ec88293211d23da,EXCHANGE,Coinbase 2,curated
